day,week,day_label,week_label,sort_order
0,1,Day 0,Week 1,0
1,1,Day 1,Week 1,1
2,1,Day 2,Week 1,2
3,1,Day 3,Week 1,3
4,1,Day 4,Week 1,4
5,1,Day 5,Week 1,5
6,1,Day 6,Week 1,6
7,2,Day 7,Week 2,7
8,2,Day 8,Week 2,8
9,2,Day 9,Week 2,9
10,2,Day 10,Week 2,10
11,2,Day 11,Week 2,11
12,2,Day 12,Week 2,12
13,2,Day 13,Week 2,13
14,3,Day 14,Week 3,14
15,3,Day 15,Week 3,15
16,3,Day 16,Week 3,16
17,3,Day 17,Week 3,17
18,3,Day 18,Week 3,18
19,3,Day 19,Week 3,19
20,3,Day 20,Week 3,20
21,4,Day 21,Week 4,21
22,4,Day 22,Week 4,22
23,4,Day 23,Week 4,23
24,4,Day 24,Week 4,24
25,4,Day 25,Week 4,25
26,4,Day 26,Week 4,26
27,4,Day 27,Week 4,27
28,5,Day 28,Week 5,28
29,5,Day 29,Week 5,29
